ward,count,Size
1,7,13.5117941386705
2,2,25.5615164520744
3,25,27.7862759113653
4,19,20.7012151536812
5,4,10.8578792341679
6,47,40.325232308792
7,25,25.6997855611151
9,31,33.8820586132952
10,27,21.4917798427448
11,10,9.6397426733381
12,9,9.88666666666667
14,32,29.5518227305218
15,22,22.9292351679771
16,7,3.24553224553225
17,11,17.2180128663331
18,38,43.5239456754825
20,24.5,12.9524660471766
21,8,7.26166547020818
22,13,14.4456754824875
23,24,19.5594472242078
24,9,7.0763640695735
25,15,20.6270192994996
26,22,20.9066595187038
27,28,22.4195854181558
28,29,32.1951393852752
29,28,31.1243745532523
30,19,16.2108649035025
31,4,32.1790830945559
32,35,31.3202287348106
33,19,18.2837741243746
34,34,31.9313795568263
35,34,33.5218012866333
36,28,26.9135096497498
37,35,27.0135811293781
38,15,16.7784131522516
39,19,21.0986418870622
40,28,25.2573266619014
41,7,6.01790830945559
42,22,23.4253037884203
43,32,29.4974982130093
44,22,24.1343817012152
45,21,19.3566833452466
46,3,1.53580901856764
47,19,24.7885997521685
48,23,28.3421372408863
49,18,17.1903145103645
50,22,15.6679771265189
51,21,17.569871336669
52,29,24.8086132952109
53,18.5,17.2188110555158
54,13,11.1479628305933
55,1,5.46529933481153
56,23,26.6654384672071
57,11,12.8936894474993
58,30,26.090886347391
59,7,10.0932809149392
60,22,22.9225637360019
61,6,12.1117094017094
62,24,13.8909340004765
63,9,8.23149492017417
65,17,17.0777537796976
66,26,30.6111508220157
67,33,28.9478198713367
68,11,10.2015725518227
69,4,3.81254506128335
70,15,14.0850607576841
71,27,29.6933523945675
72,29.5,21.4225669583665
73,4,4.44664744051911
74,4,6.54681865018032
75,30,21.8821777460091
76,11,9.15350250178699
77,17,24.6534429354301
78,4,5.82118179652132
79,10,9.20657612580415
80,5,6.09248554913295
81,27,29.4503216583274
83,10.5,10.4354896354539
84,6.5,11.017357636407
85,10,8.17363593042649
86,4,2.4030903090309
87,13.25,11.6272933047415
89,5,7.60876816773886
91,13,11.0303468208092
92,6,4.87249814677539
93,8,8.45534905885156
94,9,7.90630372492837
95,14,13.6325947105075
97,0.5,1.52588268001112
99,11,8.31796521324756
100,4,3.87453436095055
103,18,13.8892065761258
105,5,5.9943407960199
106,1.5,4.6181664247702
107,3.5,3.84766252739226
110,1.25,3.05360326894502
111,0.5,1.6242962962963
112,7,4.29489051094891
114,4,3.13107511045655
115,12,9.45532523230879
116,12,9.54967834167262
117,8,8.87562544674768
118,20,16.7190850607577
119,18,19.3716940671909
120,6,7.65910753474762
121,14,9.95922746781116
122,8,7.73657838224767
123,6,6.19874100719424
124,10,13.786327845383
128,1,8.00913242009132
130,1,4.69830729166667
136,2,4.72274837511606
138,1.25,1.38425506195225
145,1,0.798542080848244
146,1.5,1.39522673031026
148,1,2.24876811594203
155,0.25,0.926070038910506
157,0.5,0.781333333333333
169,1,0.946623093681917
171,1,1.40993788819876
173,1,1.2515318627451
181,0.5,0.689862542955326
199,5,3.49590277777778
201,7,10.0580442804428
206,1,1.16811175337187
