ward,count,Size
1,13,13.5117941386705
2,32,25.5615164520744
3,28,27.7862759113653
4,13,20.7012151536812
5,17,10.8578792341679
6,46,40.325232308792
7,34,25.6997855611151
8,4,4.67208271787297
9,37,33.8820586132952
10,24,21.4917798427448
11,9,9.6397426733381
12,9,9.88666666666667
13,1,2.71262458471761
14,32,29.5518227305218
15,26,22.9292351679771
16,1,3.24553224553225
17,24,17.2180128663331
18,36,43.5239456754825
20,7.5,12.9524660471766
21,4,7.26166547020818
22,12.5,14.4456754824875
23,14.5,19.5594472242078
24,4.5,7.0763640695735
25,16.5,20.6270192994996
26,29.5,20.9066595187038
27,23,22.4195854181558
28,32,32.1951393852752
29,33,31.1243745532523
30,20,16.2108649035025
31,51,32.1790830945559
32,34,31.3202287348106
33,20,18.2837741243746
34,29,31.9313795568263
35,39,33.5218012866333
36,25,26.9135096497498
37,27,27.0135811293781
38,12,16.7784131522516
39,16,21.0986418870622
40,26,25.2573266619014
41,6,6.01790830945559
42,23,23.4253037884203
43,26,29.4974982130093
44,23,24.1343817012152
45,26,19.3566833452466
47,28,24.7885997521685
48,28,28.3421372408863
49,17.8333333333333,17.1903145103645
50,14.5,15.6679771265189
51,13,17.569871336669
52,19.5,24.8086132952109
53,11,17.2188110555158
54,11,11.1479628305933
55,3.5,5.46529933481153
56,29,26.6654384672071
57,7,12.8936894474993
58,30.5,26.090886347391
59,12,10.0932809149392
60,20,22.9225637360019
61,10,12.1117094017094
62,19,13.8909340004765
63,9,8.23149492017417
64,19,8.24366312346688
65,24,17.0777537796976
66,29,30.6111508220157
67,33,28.9478198713367
68,5,10.2015725518227
69,5,3.81254506128335
70,16,14.0850607576841
71,20,29.6933523945675
72,31.5,21.4225669583665
73,3,4.44664744051911
74,6,6.54681865018032
75,13,21.8821777460091
76,8.5,9.15350250178699
77,22.8333333333333,24.6534429354301
78,4.5,5.82118179652132
79,9,9.20657612580415
80,7,6.09248554913295
81,34,29.4503216583274
82,6,4.20030127741624
83,8,10.4354896354539
84,10,11.017357636407
85,9.33333333333333,8.17363593042649
86,3,2.4030903090309
87,8,11.6272933047415
88,0.5,1.07724301841949
89,7,7.60876816773886
91,10,11.0303468208092
92,4,4.87249814677539
93,10,8.45534905885156
94,9,7.90630372492837
95,11,13.6325947105075
97,1.5,1.52588268001112
98,0.5,2.05527210884354
99,7,8.31796521324756
100,10.5,3.87453436095055
101,1.5,1.55404463040446
103,14,13.8892065761258
104,7.33333333333333,3.05268310369833
105,13.5,5.9943407960199
106,6,4.6181664247702
107,3,3.84766252739226
109,2,2.26191389599318
110,5.33333333333333,3.05360326894502
111,1.5,1.6242962962963
112,1,4.29489051094891
113,2.5,2.00614316239316
114,3,3.13107511045655
115,7,9.45532523230879
116,10,9.54967834167262
117,8,8.87562544674768
118,12,16.7190850607577
119,23,19.3716940671909
120,6,7.65910753474762
121,13,9.95922746781116
122,4,7.73657838224767
123,6,6.19874100719424
124,16.5,13.786327845383
128,12,8.00913242009132
129,9,5.24275646045419
130,9,4.69830729166667
132,8.83333333333333,4.66894609814964
133,4.5,2.09366818873668
134,13,7.62786885245902
136,4.5,4.72274837511606
138,0.5,1.38425506195225
144,3,2.45728155339806
147,0.5,1.41650380021715
154,0.5,0.824142156862745
156,1,1.0950950950951
160,3,1.26869779802582
170,1,1.66355140186916
173,1,1.2515318627451
185,1,1.36914600550964
195,1,1.06951871657754
198,1,2.45313986679353
199,4,3.49590277777778
201,7.5,10.0580442804428
206,1,1.16811175337187
207,7,6.32249496475327
215,4.5,2.19287158746208
216,2,1.85531135531136
220,32,21.4686770428016
223,1,1.08256880733945
232,8,8.61432676518883
251,1,1.96890547263682
260,2,1.10113268608414
262,6,3.68810916179337
263,10,6.60058027079304
264,3,2.78497409326425
274,8.5,5.44082479258175
285,1,1.27601809954751
288,1.5,0.850453172205438
306,1,1
