ward,count,Size
1,12,13.5117941386705
2,8,25.5615164520744
3,29,27.7862759113653
4,21,20.7012151536812
5,3,10.8578792341679
6,43,40.325232308792
7,23,25.6997855611151
8,3,4.67208271787297
9,29,33.8820586132952
10,19,21.4917798427448
11,8,9.6397426733381
12,11,9.88666666666667
14,23,29.5518227305218
15,25,22.9292351679771
16,3,3.24553224553225
17,14,17.2180128663331
18,32,43.5239456754825
20,15,12.9524660471766
21,3.5,7.26166547020818
22,12,14.4456754824875
23,24,19.5594472242078
24,6,7.0763640695735
25,16,20.6270192994996
26,20,20.9066595187038
27,29,22.4195854181558
28,31,32.1951393852752
29,28,31.1243745532523
30,14,16.2108649035025
31,5,32.1790830945559
32,29,31.3202287348106
33,18,18.2837741243746
34,33,31.9313795568263
35,25,33.5218012866333
36,33,26.9135096497498
37,25,27.0135811293781
38,18,16.7784131522516
39,25,21.0986418870622
40,22,25.2573266619014
41,9,6.01790830945559
42,23,23.4253037884203
43,27,29.4974982130093
44,25,24.1343817012152
45,27,19.3566833452466
47,28,24.7885997521685
48,26,28.3421372408863
49,13,17.1903145103645
50,20.5,15.6679771265189
51,20,17.569871336669
52,27.5,24.8086132952109
53,17,17.2188110555158
54,12,11.1479628305933
55,3,5.46529933481153
57,17,12.8936894474993
58,18.5,26.090886347391
59,12,10.0932809149392
60,21,22.9225637360019
61,6,12.1117094017094
62,15.5,13.8909340004765
63,9,8.23149492017417
65,12,17.0777537796976
66,24,30.6111508220157
67,23,28.9478198713367
68,15,10.2015725518227
69,4,3.81254506128335
70,12,14.0850607576841
71,29,29.6933523945675
72,25,21.4225669583665
73,5,4.44664744051911
74,5,6.54681865018032
75,29,21.8821777460091
76,11,9.15350250178699
77,25,24.6534429354301
78,6,5.82118179652132
79,5,9.20657612580415
80,5,6.09248554913295
81,28,29.4503216583274
82,2.5,4.20030127741624
83,9,10.4354896354539
84,11,11.017357636407
85,6,8.17363593042649
86,2,2.4030903090309
87,10,11.6272933047415
88,1,1.07724301841949
89,7,7.60876816773886
91,13,11.0303468208092
93,5.5,8.45534905885156
94,17,7.90630372492837
95,10,13.6325947105075
98,1,2.05527210884354
99,9,8.31796521324756
101,0.5,1.55404463040446
103,17,13.8892065761258
104,1,3.05268310369833
105,6,5.9943407960199
106,4.5,4.6181664247702
107,3.5,3.84766252739226
110,6,3.05360326894502
112,3,4.29489051094891
113,1,2.00614316239316
115,8,9.45532523230879
116,10,9.54967834167262
117,10,8.87562544674768
118,21,16.7190850607577
119,23,19.3716940671909
120,6,7.65910753474762
121,12,9.95922746781116
122,1,7.73657838224767
124,11,13.786327845383
129,1,5.24275646045419
130,1,4.69830729166667
132,1,4.66894609814964
143,1,1.10267857142857
146,0.5,1.39522673031026
148,2,2.24876811594203
151,1,1.45569620253165
155,0.5,0.926070038910506
157,0.5,0.781333333333333
160,1,1.26869779802582
175,0.5,0.718544600938967
186,1,0.913654618473896
195,1,1.06951871657754
199,1,3.49590277777778
201,6,10.0580442804428
207,4.5,6.32249496475327
220,19.5,21.4686770428016
232,3,8.61432676518883
