ward,count,Size
1,10,13.5117941386705
2,23,25.5615164520744
3,31,27.7862759113653
4,23,20.7012151536812
5,11,10.8578792341679
6,36,40.325232308792
7,23,25.6997855611151
8,7,4.67208271787297
9,33,33.8820586132952
10,24,21.4917798427448
11,12,9.6397426733381
12,10,9.88666666666667
13,3,2.71262458471761
14,33,29.5518227305218
15,20,22.9292351679771
16,5,3.24553224553225
17,12,17.2180128663331
18,46,43.5239456754825
20,25,12.9524660471766
21,5.5,7.26166547020818
22,12,14.4456754824875
23,23,19.5594472242078
24,6,7.0763640695735
25,23.5,20.6270192994996
26,26.5,20.9066595187038
27,24,22.4195854181558
28,37,32.1951393852752
29,29,31.1243745532523
30,15,16.2108649035025
31,43,32.1790830945559
32,32,31.3202287348106
33,18,18.2837741243746
34,29,31.9313795568263
35,35,33.5218012866333
36,30,26.9135096497498
37,27,27.0135811293781
38,20,16.7784131522516
39,17,21.0986418870622
40,32,25.2573266619014
41,5,6.01790830945559
42,22,23.4253037884203
43,32,29.4974982130093
44,25,24.1343817012152
45,18,19.3566833452466
46,3,1.53580901856764
47,20,24.7885997521685
48,30,28.3421372408863
49,19,17.1903145103645
50,17,15.6679771265189
51,19.8333333333333,17.569871336669
52,28,24.8086132952109
53,22.5,17.2188110555158
54,7,11.1479628305933
55,3.5,5.46529933481153
56,18.5,26.6654384672071
57,7.5,12.8936894474993
58,28.5,26.090886347391
59,8,10.0932809149392
60,21,22.9225637360019
61,12,12.1117094017094
62,15,13.8909340004765
63,13,8.23149492017417
64,9,8.24366312346688
65,17,17.0777537796976
66,36,30.6111508220157
67,29,28.9478198713367
68,11,10.2015725518227
69,4,3.81254506128335
70,13,14.0850607576841
71,31,29.6933523945675
73,7,4.44664744051911
74,9,6.54681865018032
75,29,21.8821777460091
76,11,9.15350250178699
77,21.5,24.6534429354301
78,12,5.82118179652132
79,10,9.20657612580415
80,4,6.09248554913295
81,22,29.4503216583274
82,6.5,4.20030127741624
83,11,10.4354896354539
84,9,11.017357636407
85,9,8.17363593042649
86,3,2.4030903090309
87,12,11.6272933047415
89,10,7.60876816773886
90,4,1.41218637992832
91,9,11.0303468208092
93,9.83333333333333,8.45534905885156
94,7,7.90630372492837
95,17,13.6325947105075
97,2,1.52588268001112
98,3,2.05527210884354
99,7,8.31796521324756
103,12,13.8892065761258
104,2.83333333333333,3.05268310369833
105,3,5.9943407960199
106,1,4.6181664247702
107,4.33333333333333,3.84766252739226
110,3,3.05360326894502
112,1,4.29489051094891
113,1,2.00614316239316
114,4,3.13107511045655
115,9,9.45532523230879
116,10,9.54967834167262
117,9,8.87562544674768
118,16,16.7190850607577
119,19,19.3716940671909
120,7,7.65910753474762
121,7,9.95922746781116
122,5,7.73657838224767
123,8,6.19874100719424
124,15,13.786327845383
128,11,8.00913242009132
129,7,5.24275646045419
130,5.83333333333333,4.69830729166667
132,5,4.66894609814964
133,2,2.09366818873668
134,2,7.62786885245902
135,0.5,0.734006734006734
136,0.5,4.72274837511606
138,1.33333333333333,1.38425506195225
140,1,1.32439678284182
141,1,1.19653179190751
144,1,2.45728155339806
145,1,0.798542080848244
146,1.5,1.39522673031026
147,3,1.41650380021715
148,1,2.24876811594203
155,0.5,0.926070038910506
160,2,1.26869779802582
163,0.5,0.689676910953507
173,2,1.2515318627451
182,0.5,0.60573476702509
198,2,2.45313986679353
199,2.5,3.49590277777778
201,8.5,10.0580442804428
204,1,0.611111111111111
207,9,6.32249496475327
215,1,2.19287158746208
220,18.5,21.4686770428016
221,1,0.716553287981859
232,7.5,8.61432676518883
234,0.5,1.40861062463514
251,3,1.96890547263682
262,3,3.68810916179337
263,5,6.60058027079304
266,3,2.09109311740891
268,0.5,1.89975845410628
