ward,count,Size
1,12,13.5117941386705
2,33,25.5615164520744
3,32,27.7862759113653
4,26,20.7012151536812
5,6,10.8578792341679
6,40,40.325232308792
7,27,25.6997855611151
8,4,4.67208271787297
9,35,33.8820586132952
10,21,21.4917798427448
11,10,9.6397426733381
12,10,9.88666666666667
13,2,2.71262458471761
14,36,29.5518227305218
15,23,22.9292351679771
16,1,3.24553224553225
17,13,17.2180128663331
18,48,43.5239456754825
20,11,12.9524660471766
21,10.5,7.26166547020818
22,12.5,14.4456754824875
23,23.5,19.5594472242078
24,6,7.0763640695735
25,19,20.6270192994996
26,12.5,20.9066595187038
27,27,22.4195854181558
28,25,32.1951393852752
29,28,31.1243745532523
30,17,16.2108649035025
31,36,32.1790830945559
32,31,31.3202287348106
33,17,18.2837741243746
34,34,31.9313795568263
35,29,33.5218012866333
36,30,26.9135096497498
37,36,27.0135811293781
38,22,16.7784131522516
39,19,21.0986418870622
40,25,25.2573266619014
41,6,6.01790830945559
42,23,23.4253037884203
43,34,29.4974982130093
44,26,24.1343817012152
45,19,19.3566833452466
47,21,24.7885997521685
48,24.5,28.3421372408863
49,15,17.1903145103645
50,12,15.6679771265189
51,16,17.569871336669
52,19.5,24.8086132952109
53,17,17.2188110555158
54,18.5,11.1479628305933
55,9.33333333333333,5.46529933481153
56,25,26.6654384672071
57,11,12.8936894474993
58,20,26.090886347391
59,13,10.0932809149392
60,23,22.9225637360019
61,11,12.1117094017094
62,14,13.8909340004765
63,4,8.23149492017417
64,16,8.24366312346688
65,21,17.0777537796976
66,29,30.6111508220157
67,28,28.9478198713367
68,12,10.2015725518227
69,4,3.81254506128335
70,11,14.0850607576841
71,32,29.6933523945675
72,23,21.4225669583665
73,1,4.44664744051911
74,8,6.54681865018032
75,14.5,21.8821777460091
76,8,9.15350250178699
77,26.5,24.6534429354301
78,2,5.82118179652132
79,10,9.20657612580415
80,7,6.09248554913295
81,33,29.4503216583274
82,4.5,4.20030127741624
83,17.5,10.4354896354539
84,9,11.017357636407
85,9,8.17363593042649
86,3,2.4030903090309
87,10.5,11.6272933047415
89,10,7.60876816773886
91,14,11.0303468208092
92,7,4.87249814677539
93,7.5,8.45534905885156
94,4,7.90630372492837
95,16,13.6325947105075
98,1,2.05527210884354
99,6.5,8.31796521324756
100,4,3.87453436095055
101,3,1.55404463040446
103,14,13.8892065761258
104,5,3.05268310369833
105,5.5,5.9943407960199
106,3,4.6181664247702
107,6.75,3.84766252739226
109,2,2.26191389599318
110,3.5,3.05360326894502
111,3.33333333333333,1.6242962962963
112,6,4.29489051094891
113,4,2.00614316239316
115,7,9.45532523230879
116,9,9.54967834167262
117,11,8.87562544674768
118,20,16.7190850607577
119,23,19.3716940671909
120,5,7.65910753474762
121,11,9.95922746781116
122,7,7.73657838224767
123,5,6.19874100719424
124,13.5,13.786327845383
128,6,8.00913242009132
129,3,5.24275646045419
130,2,4.69830729166667
132,4,4.66894609814964
133,0.5,2.09366818873668
134,4,7.62786885245902
136,11,4.72274837511606
137,0.5,0.847183748845799
138,2.83333333333333,1.38425506195225
144,2,2.45728155339806
147,0.5,1.41650380021715
148,2,2.24876811594203
151,3,1.45569620253165
155,1,0.926070038910506
156,1,1.0950950950951
160,1,1.26869779802582
164,0.5,0.842682926829268
171,1,1.40993788819876
173,1.5,1.2515318627451
178,1.5,0.616666666666667
187,1,1.01503759398496
191,0.25,0.476010101010101
193,1.25,0.851851851851852
198,2,2.45313986679353
199,8,3.49590277777778
201,13.8333333333333,10.0580442804428
207,5.5,6.32249496475327
213,1,1.60265049415993
215,2,2.19287158746208
216,1,1.85531135531136
220,24.5,21.4686770428016
232,6,8.61432676518883
234,0.5,1.40861062463514
251,0.833333333333333,1.96890547263682
260,0.333333333333333,1.10113268608414
262,4,3.68810916179337
263,9,6.60058027079304
264,7,2.78497409326425
274,3,5.44082479258175
279,0.25,0.412878787878788
288,1,0.850453172205438
