ward,count,Size
1,25,13.5117941386705
2,33,25.5615164520744
3,21,27.7862759113653
4,19,20.7012151536812
5,6,10.8578792341679
6,52,40.325232308792
7,26,25.6997855611151
8,9,4.67208271787297
9,35,33.8820586132952
10,18,21.4917798427448
11,7,9.6397426733381
12,5,9.88666666666667
13,4,2.71262458471761
14,35,29.5518227305218
15,23,22.9292351679771
16,2,3.24553224553225
17,9,17.2180128663331
18,50,43.5239456754825
20,5,12.9524660471766
21,6,7.26166547020818
22,14.5,14.4456754824875
23,14.5,19.5594472242078
24,5,7.0763640695735
25,22,20.6270192994996
26,21.5,20.9066595187038
27,22,22.4195854181558
28,29,32.1951393852752
29,30,31.1243745532523
30,18,16.2108649035025
31,43,32.1790830945559
32,34,31.3202287348106
33,19,18.2837741243746
34,32,31.9313795568263
35,29,33.5218012866333
36,27,26.9135096497498
37,29,27.0135811293781
38,14,16.7784131522516
39,19,21.0986418870622
40,24,25.2573266619014
41,6,6.01790830945559
42,27,23.4253037884203
43,29,29.4974982130093
44,19,24.1343817012152
45,20,19.3566833452466
47,21,24.7885997521685
48,23.5,28.3421372408863
49,12,17.1903145103645
50,12,15.6679771265189
51,13,17.569871336669
52,29.5,24.8086132952109
53,24,17.2188110555158
54,13.5,11.1479628305933
55,5.5,5.46529933481153
56,27,26.6654384672071
58,25.5,26.090886347391
59,7.5,10.0932809149392
60,17,22.9225637360019
61,16,12.1117094017094
62,19,13.8909340004765
63,3,8.23149492017417
64,7,8.24366312346688
65,21,17.0777537796976
66,27,30.6111508220157
67,32,28.9478198713367
68,13,10.2015725518227
69,4,3.81254506128335
70,11,14.0850607576841
71,29,29.6933523945675
72,25.5,21.4225669583665
74,7,6.54681865018032
75,23,21.8821777460091
76,11,9.15350250178699
77,26.5,24.6534429354301
78,2.5,5.82118179652132
79,8,9.20657612580415
80,8,6.09248554913295
81,31,29.4503216583274
82,6,4.20030127741624
83,10.3333333333333,10.4354896354539
84,8,11.017357636407
85,7.5,8.17363593042649
86,7,2.4030903090309
87,6.5,11.6272933047415
89,10,7.60876816773886
91,8,11.0303468208092
92,2,4.87249814677539
93,7,8.45534905885156
94,2,7.90630372492837
95,16,13.6325947105075
97,0.5,1.52588268001112
99,8.5,8.31796521324756
100,6.5,3.87453436095055
101,2,1.55404463040446
103,13,13.8892065761258
104,4,3.05268310369833
105,6,5.9943407960199
106,5,4.6181664247702
107,5,3.84766252739226
109,1.5,2.26191389599318
110,5,3.05360326894502
111,0.5,1.6242962962963
112,1,4.29489051094891
113,4,2.00614316239316
114,3,3.13107511045655
115,6,9.45532523230879
116,7,9.54967834167262
117,3,8.87562544674768
118,15,16.7190850607577
119,18,19.3716940671909
120,8,7.65910753474762
121,16,9.95922746781116
122,9,7.73657838224767
123,9,6.19874100719424
124,13.5,13.786327845383
128,6,8.00913242009132
129,10,5.24275646045419
130,10.5,4.69830729166667
132,6,4.66894609814964
133,4.83333333333333,2.09366818873668
134,16,7.62786885245902
136,14.5,4.72274837511606
137,0.5,0.847183748845799
138,1,1.38425506195225
144,1,2.45728155339806
146,2,1.39522673031026
147,0.5,1.41650380021715
148,3,2.24876811594203
149,2,1.24779723991507
151,1,1.45569620253165
160,2,1.26869779802582
163,0.333333333333333,0.689676910953507
164,0.5,0.842682926829268
170,4,1.66355140186916
173,2.5,1.2515318627451
181,0.5,0.689862542955326
188,0.5,0.622311827956989
189,1,1.47810218978102
198,4,2.45313986679353
199,2.5,3.49590277777778
201,8,10.0580442804428
207,5,6.32249496475327
213,3,1.60265049415993
215,4,2.19287158746208
220,23.5,21.4686770428016
232,12.5,8.61432676518883
251,5,1.96890547263682
258,1,1.24852071005917
260,0.5,1.10113268608414
262,3,3.68810916179337
263,6,6.60058027079304
274,6,5.44082479258175
288,1,0.850453172205438
303,1,1
310,0.5,0.660714285714286
