ward,count,Size
1,15,13.5117941386705
2,53,25.5615164520744
3,25,27.7862759113653
4,22,20.7012151536812
5,13,10.8578792341679
6,44,40.325232308792
7,29,25.6997855611151
8,4,4.67208271787297
9,31,33.8820586132952
10,19,21.4917798427448
11,10,9.6397426733381
12,6,9.88666666666667
13,1,2.71262458471761
14,29,29.5518227305218
15,20,22.9292351679771
16,1,3.24553224553225
17,20,17.2180128663331
18,42,43.5239456754825
20,20,12.9524660471766
21,12,7.26166547020818
22,20.5,14.4456754824875
23,14,19.5594472242078
24,9,7.0763640695735
25,15.5,20.6270192994996
26,15.5,20.9066595187038
27,29,22.4195854181558
28,32,32.1951393852752
29,26,31.1243745532523
30,17,16.2108649035025
31,35,32.1790830945559
32,29,31.3202287348106
33,21,18.2837741243746
34,28,31.9313795568263
35,33,33.5218012866333
36,21,26.9135096497498
37,28,27.0135811293781
38,22,16.7784131522516
39,22,21.0986418870622
40,23,25.2573266619014
41,2,6.01790830945559
42,23,23.4253037884203
43,26,29.4974982130093
44,24,24.1343817012152
45,22,19.3566833452466
47,21,24.7885997521685
48,26.5,28.3421372408863
49,14.5,17.1903145103645
50,18,15.6679771265189
51,20,17.569871336669
52,19.5,24.8086132952109
53,22,17.2188110555158
54,19.5,11.1479628305933
55,3.5,5.46529933481153
56,27,26.6654384672071
58,27,26.090886347391
59,7,10.0932809149392
60,22,22.9225637360019
61,17,12.1117094017094
62,14.5,13.8909340004765
63,8,8.23149492017417
64,16,8.24366312346688
65,11,17.0777537796976
66,31,30.6111508220157
67,26,28.9478198713367
68,12,10.2015725518227
69,9,3.81254506128335
70,15,14.0850607576841
71,28,29.6933523945675
72,22,21.4225669583665
73,3,4.44664744051911
74,4,6.54681865018032
75,13.5,21.8821777460091
76,12,9.15350250178699
77,24,24.6534429354301
78,3.5,5.82118179652132
79,7,9.20657612580415
80,6,6.09248554913295
81,33,29.4503216583274
82,6.83333333333333,4.20030127741624
83,7,10.4354896354539
84,9,11.017357636407
85,11,8.17363593042649
86,3,2.4030903090309
87,13.5,11.6272933047415
89,10,7.60876816773886
91,8,11.0303468208092
92,6,4.87249814677539
93,9,8.45534905885156
94,12,7.90630372492837
95,12,13.6325947105075
97,0.833333333333333,1.52588268001112
98,1,2.05527210884354
99,2,8.31796521324756
100,10.3333333333333,3.87453436095055
103,14,13.8892065761258
104,3.5,3.05268310369833
105,3,5.9943407960199
106,4,4.6181664247702
107,8,3.84766252739226
109,1,2.26191389599318
110,3,3.05360326894502
111,1.5,1.6242962962963
112,3,4.29489051094891
113,1.5,2.00614316239316
114,2,3.13107511045655
115,6,9.45532523230879
116,8,9.54967834167262
117,7,8.87562544674768
118,18,16.7190850607577
119,19,19.3716940671909
120,9,7.65910753474762
121,9,9.95922746781116
122,8,7.73657838224767
123,3,6.19874100719424
124,9,13.786327845383
128,8,8.00913242009132
129,2,5.24275646045419
130,3.5,4.69830729166667
132,3.5,4.66894609814964
133,2,2.09366818873668
134,15,7.62786885245902
136,5,4.72274837511606
138,2,1.38425506195225
144,3,2.45728155339806
146,3.33333333333333,1.39522673031026
148,3,2.24876811594203
149,2.5,1.24779723991507
151,1,1.45569620253165
156,1,1.0950950950951
160,0.5,1.26869779802582
163,0.5,0.689676910953507
164,1,0.842682926829268
171,1,1.40993788819876
173,1,1.2515318627451
195,1,1.06951871657754
198,7.83333333333333,2.45313986679353
199,14.5,3.49590277777778
201,14.3333333333333,10.0580442804428
207,5.5,6.32249496475327
213,0.5,1.60265049415993
215,1,2.19287158746208
220,22.5,21.4686770428016
232,10.5,8.61432676518883
251,2,1.96890547263682
258,1,1.24852071005917
260,1.5,1.10113268608414
262,2,3.68810916179337
263,6,6.60058027079304
274,4.5,5.44082479258175
