ward,count,Size
1,12,13.5117941386705
2,8,25.5615164520744
3,31,27.7862759113653
4,16,20.7012151536812
5,5,10.8578792341679
6,46,40.325232308792
7,27,25.6997855611151
8,3,4.67208271787297
9,38,33.8820586132952
10,22,21.4917798427448
11,9,9.6397426733381
12,11,9.88666666666667
13,1,2.71262458471761
14,33,29.5518227305218
15,28,22.9292351679771
16,3,3.24553224553225
17,19,17.2180128663331
18,45,43.5239456754825
20,20,12.9524660471766
21,8.5,7.26166547020818
22,12.5,14.4456754824875
23,22,19.5594472242078
24,6,7.0763640695735
25,20.5,20.6270192994996
26,16,20.9066595187038
27,26,22.4195854181558
28,29,32.1951393852752
29,31,31.1243745532523
30,16,16.2108649035025
31,38,32.1790830945559
32,31,31.3202287348106
33,21,18.2837741243746
34,33,31.9313795568263
35,36,33.5218012866333
36,31,26.9135096497498
37,34,27.0135811293781
38,14,16.7784131522516
39,25,21.0986418870622
40,31,25.2573266619014
41,7,6.01790830945559
42,21,23.4253037884203
43,33,29.4974982130093
44,23,24.1343817012152
45,22,19.3566833452466
46,2,1.53580901856764
47,27.5,24.7885997521685
48,24,28.3421372408863
49,21,17.1903145103645
50,19.8333333333333,15.6679771265189
51,17,17.569871336669
52,26.5,24.8086132952109
53,16.5,17.2188110555158
54,10,11.1479628305933
55,7.83333333333333,5.46529933481153
57,24.5,12.8936894474993
58,26.5,26.090886347391
59,12,10.0932809149392
60,24,22.9225637360019
61,15,12.1117094017094
62,17.5,13.8909340004765
63,11,8.23149492017417
64,1,8.24366312346688
65,15,17.0777537796976
66,29,30.6111508220157
67,29,28.9478198713367
68,14,10.2015725518227
69,3,3.81254506128335
70,13,14.0850607576841
71,30,29.6933523945675
72,33.5,21.4225669583665
73,4.5,4.44664744051911
74,5,6.54681865018032
75,25,21.8821777460091
76,6,9.15350250178699
77,23,24.6534429354301
78,6,5.82118179652132
79,7,9.20657612580415
80,11,6.09248554913295
81,26,29.4503216583274
82,4.83333333333333,4.20030127741624
83,10,10.4354896354539
84,7,11.017357636407
85,8,8.17363593042649
86,1,2.4030903090309
87,12,11.6272933047415
89,8,7.60876816773886
90,1,1.41218637992832
91,13,11.0303468208092
92,4,4.87249814677539
93,12,8.45534905885156
94,13.5,7.90630372492837
95,13,13.6325947105075
97,0.833333333333333,1.52588268001112
98,2.5,2.05527210884354
99,14,8.31796521324756
100,0.333333333333333,3.87453436095055
103,16,13.8892065761258
104,3.5,3.05268310369833
105,9,5.9943407960199
106,2,4.6181664247702
107,4,3.84766252739226
110,5,3.05360326894502
111,0.5,1.6242962962963
112,1,4.29489051094891
113,1.5,2.00614316239316
114,4,3.13107511045655
115,9,9.45532523230879
116,10,9.54967834167262
117,10,8.87562544674768
118,23,16.7190850607577
119,24,19.3716940671909
120,10,7.65910753474762
121,8,9.95922746781116
122,9,7.73657838224767
123,3,6.19874100719424
124,25,13.786327845383
128,1,8.00913242009132
129,6,5.24275646045419
130,9,4.69830729166667
132,8.5,4.66894609814964
133,1.5,2.09366818873668
134,1,7.62786885245902
135,0.5,0.734006734006734
136,0.333333333333333,4.72274837511606
138,3.33333333333333,1.38425506195225
141,1,1.19653179190751
143,2,1.10267857142857
144,5,2.45728155339806
147,0.5,1.41650380021715
148,1,2.24876811594203
156,1,1.0950950950951
160,1.5,1.26869779802582
186,1,0.913654618473896
195,1,1.06951871657754
198,1,2.45313986679353
199,3,3.49590277777778
201,5.83333333333333,10.0580442804428
203,0.5,0.666666666666667
207,9.83333333333333,6.32249496475327
215,1,2.19287158746208
220,21,21.4686770428016
232,6,8.61432676518883
