ward,count,Size
1,10,13.5117941386705
2,23,25.5615164520744
3,29,27.7862759113653
4,14,20.7012151536812
5,9,10.8578792341679
6,36,40.325232308792
7,21,25.6997855611151
8,3,4.67208271787297
9,28,33.8820586132952
10,21,21.4917798427448
11,8,9.6397426733381
12,8,9.88666666666667
13,4,2.71262458471761
14,32,29.5518227305218
15,24,22.9292351679771
16,2,3.24553224553225
17,26,17.2180128663331
18,51,43.5239456754825
20,17,12.9524660471766
21,4.5,7.26166547020818
22,13.8333333333333,14.4456754824875
23,11,19.5594472242078
24,10,7.0763640695735
25,23,20.6270192994996
26,16.5,20.9066595187038
27,22,22.4195854181558
28,36,32.1951393852752
29,34,31.1243745532523
30,15,16.2108649035025
31,38,32.1790830945559
32,28,31.3202287348106
33,16,18.2837741243746
34,33,31.9313795568263
35,35,33.5218012866333
36,28,26.9135096497498
37,20,27.0135811293781
38,10,16.7784131522516
39,19,21.0986418870622
40,22,25.2573266619014
41,6,6.01790830945559
42,22,23.4253037884203
43,28,29.4974982130093
44,24,24.1343817012152
45,19,19.3566833452466
47,25,24.7885997521685
48,30.5,28.3421372408863
49,10,17.1903145103645
50,12,15.6679771265189
51,16,17.569871336669
52,22,24.8086132952109
53,11,17.2188110555158
54,12,11.1479628305933
55,8,5.46529933481153
56,24.5,26.6654384672071
57,3,12.8936894474993
58,22.5,26.090886347391
59,6.5,10.0932809149392
60,27,22.9225637360019
61,16,12.1117094017094
62,10,13.8909340004765
63,5,8.23149492017417
64,8,8.24366312346688
65,8,17.0777537796976
66,26,30.6111508220157
67,25,28.9478198713367
68,7,10.2015725518227
69,3,3.81254506128335
70,11,14.0850607576841
71,29,29.6933523945675
72,18,21.4225669583665
73,1,4.44664744051911
74,9,6.54681865018032
75,22.5,21.8821777460091
76,6,9.15350250178699
77,23,24.6534429354301
78,5.5,5.82118179652132
79,11,9.20657612580415
80,4,6.09248554913295
81,28,29.4503216583274
82,2.5,4.20030127741624
83,7.5,10.4354896354539
84,7,11.017357636407
85,9,8.17363593042649
86,1,2.4030903090309
87,9.33333333333333,11.6272933047415
89,4,7.60876816773886
91,7,11.0303468208092
92,5,4.87249814677539
93,10,8.45534905885156
94,4.5,7.90630372492837
95,12,13.6325947105075
97,0.5,1.52588268001112
98,1,2.05527210884354
99,5,8.31796521324756
100,5.5,3.87453436095055
101,1,1.55404463040446
103,14,13.8892065761258
104,3,3.05268310369833
105,5.5,5.9943407960199
106,1.5,4.6181664247702
107,7.5,3.84766252739226
109,2.33333333333333,2.26191389599318
110,3.5,3.05360326894502
111,2.33333333333333,1.6242962962963
112,3,4.29489051094891
114,1,3.13107511045655
115,9,9.45532523230879
116,12,9.54967834167262
117,6,8.87562544674768
118,19,16.7190850607577
119,20,19.3716940671909
120,8,7.65910753474762
121,4,9.95922746781116
122,6,7.73657838224767
123,5,6.19874100719424
124,8,13.786327845383
125,0.5,0.678810720268007
128,6,8.00913242009132
129,4,5.24275646045419
130,5,4.69830729166667
132,13.5,4.66894609814964
133,4,2.09366818873668
134,9,7.62786885245902
136,9.5,4.72274837511606
138,1.83333333333333,1.38425506195225
140,1,1.32439678284182
144,5,2.45728155339806
146,2.5,1.39522673031026
148,2,2.24876811594203
160,2,1.26869779802582
163,1,0.689676910953507
166,1,0.879469434832757
170,3,1.66355140186916
173,1,1.2515318627451
189,1,1.47810218978102
198,1,2.45313986679353
199,2,3.49590277777778
201,19,10.0580442804428
207,5,6.32249496475327
215,1,2.19287158746208
220,21,21.4686770428016
232,5,8.61432676518883
262,3,3.68810916179337
263,9,6.60058027079304
274,9.33333333333333,5.44082479258175
288,0.5,0.850453172205438
309,1,0.670731707317073
