ward,count,Size
1,4,13.5117941386705
2,9,25.5615164520744
3,28,27.7862759113653
4,20,20.7012151536812
5,5,10.8578792341679
6,30,40.325232308792
7,30,25.6997855611151
9,35,33.8820586132952
10,28,21.4917798427448
11,10,9.6397426733381
12,13,9.88666666666667
14,29,29.5518227305218
15,24,22.9292351679771
16,5,3.24553224553225
17,13,17.2180128663331
18,43,43.5239456754825
20,26,12.9524660471766
21,6,7.26166547020818
22,17,14.4456754824875
23,21,19.5594472242078
24,9,7.0763640695735
25,19.5,20.6270192994996
26,21,20.9066595187038
27,23,22.4195854181558
28,29,32.1951393852752
29,33,31.1243745532523
30,14,16.2108649035025
31,6,32.1790830945559
32,34,31.3202287348106
33,16,18.2837741243746
34,32,31.9313795568263
35,36,33.5218012866333
36,24,26.9135096497498
37,37,27.0135811293781
38,21,16.7784131522516
39,21,21.0986418870622
40,28,25.2573266619014
41,8,6.01790830945559
42,22,23.4253037884203
43,33,29.4974982130093
44,22,24.1343817012152
45,17,19.3566833452466
46,1,1.53580901856764
48,24,28.3421372408863
49,12.5,17.1903145103645
50,13,15.6679771265189
51,18,17.569871336669
52,22.5,24.8086132952109
53,23,17.2188110555158
54,9,11.1479628305933
55,3,5.46529933481153
56,23.5,26.6654384672071
57,5,12.8936894474993
58,27.5,26.090886347391
59,13,10.0932809149392
60,15,22.9225637360019
61,8,12.1117094017094
62,16,13.8909340004765
63,8,8.23149492017417
64,1,8.24366312346688
65,17,17.0777537796976
66,35,30.6111508220157
67,26,28.9478198713367
68,11,10.2015725518227
69,7,3.81254506128335
70,17,14.0850607576841
71,29,29.6933523945675
72,22,21.4225669583665
73,5,4.44664744051911
74,7,6.54681865018032
75,31,21.8821777460091
76,10,9.15350250178699
77,20,24.6534429354301
78,8,5.82118179652132
79,12,9.20657612580415
80,7,6.09248554913295
81,20,29.4503216583274
82,4.5,4.20030127741624
83,12,10.4354896354539
84,10,11.017357636407
85,10,8.17363593042649
87,10,11.6272933047415
89,7,7.60876816773886
90,1,1.41218637992832
91,11,11.0303468208092
92,4,4.87249814677539
93,3.5,8.45534905885156
94,8,7.90630372492837
95,11,13.6325947105075
97,0.5,1.52588268001112
98,1,2.05527210884354
99,11,8.31796521324756
103,14,13.8892065761258
104,2,3.05268310369833
105,6.5,5.9943407960199
106,9,4.6181664247702
107,3,3.84766252739226
110,1,3.05360326894502
112,4,4.29489051094891
113,2,2.00614316239316
114,4,3.13107511045655
115,13,9.45532523230879
116,8,9.54967834167262
117,9,8.87562544674768
118,20,16.7190850607577
119,23,19.3716940671909
120,6,7.65910753474762
121,10,9.95922746781116
122,6,7.73657838224767
123,1,6.19874100719424
124,9,13.786327845383
128,5,8.00913242009132
130,2,4.69830729166667
132,1,4.66894609814964
134,2,7.62786885245902
136,0.333333333333333,4.72274837511606
138,0.333333333333333,1.38425506195225
146,1,1.39522673031026
148,2,2.24876811594203
151,2,1.45569620253165
160,1,1.26869779802582
163,0.5,0.689676910953507
174,1,1.055
198,1,2.45313986679353
199,1,3.49590277777778
201,11.8333333333333,10.0580442804428
207,9,6.32249496475327
209,1,1.11111111111111
213,1,1.60265049415993
215,1,2.19287158746208
220,20,21.4686770428016
232,10,8.61432676518883
234,0.5,1.40861062463514
261,1,1.37727272727273
262,3,3.68810916179337
263,6,6.60058027079304
