ward,count,Size
1,20,13.5117941386705
2,5,25.5615164520744
3,29,27.7862759113653
4,29,20.7012151536812
5,1,10.8578792341679
6,49,40.325232308792
7,32,25.6997855611151
8,1,4.67208271787297
9,35,33.8820586132952
10,24,21.4917798427448
11,10,9.6397426733381
12,13,9.88666666666667
13,1,2.71262458471761
14,37,29.5518227305218
15,27,22.9292351679771
16,4,3.24553224553225
17,16,17.2180128663331
18,42,43.5239456754825
20,16,12.9524660471766
21,9,7.26166547020818
22,18,14.4456754824875
23,17,19.5594472242078
24,12,7.0763640695735
25,22.5,20.6270192994996
26,24,20.9066595187038
27,25,22.4195854181558
28,28,32.1951393852752
29,34,31.1243745532523
30,16,16.2108649035025
31,34,32.1790830945559
32,33,31.3202287348106
33,22,18.2837741243746
34,32,31.9313795568263
35,37,33.5218012866333
36,33,26.9135096497498
37,31,27.0135811293781
38,27,16.7784131522516
39,28,21.0986418870622
40,29,25.2573266619014
41,7,6.01790830945559
42,27,23.4253037884203
43,29,29.4974982130093
44,26,24.1343817012152
45,26,19.3566833452466
46,1,1.53580901856764
47,23.5,24.7885997521685
48,27.5,28.3421372408863
49,17,17.1903145103645
50,19.5,15.6679771265189
51,21,17.569871336669
52,25,24.8086132952109
53,16,17.2188110555158
54,13,11.1479628305933
55,3.5,5.46529933481153
56,23.5,26.6654384672071
57,28,12.8936894474993
58,31,26.090886347391
59,11,10.0932809149392
60,21,22.9225637360019
61,17.3333333333333,12.1117094017094
62,21,13.8909340004765
63,10,8.23149492017417
64,8,8.24366312346688
65,22,17.0777537796976
66,32,30.6111508220157
67,23,28.9478198713367
68,14,10.2015725518227
69,3,3.81254506128335
70,14,14.0850607576841
71,33,29.6933523945675
72,2,21.4225669583665
73,6,4.44664744051911
74,6,6.54681865018032
75,27,21.8821777460091
76,6.5,9.15350250178699
77,29,24.6534429354301
78,6,5.82118179652132
79,9,9.20657612580415
80,3,6.09248554913295
81,32,29.4503216583274
82,4.33333333333333,4.20030127741624
83,12,10.4354896354539
84,10,11.017357636407
85,6,8.17363593042649
86,1,2.4030903090309
87,11.5,11.6272933047415
88,1,1.07724301841949
89,3,7.60876816773886
91,10,11.0303468208092
92,2,4.87249814677539
93,13.5,8.45534905885156
94,14.5,7.90630372492837
95,10,13.6325947105075
98,3,2.05527210884354
99,10,8.31796521324756
100,1,3.87453436095055
101,0.5,1.55404463040446
103,13,13.8892065761258
104,2.5,3.05268310369833
105,2,5.9943407960199
106,4,4.6181664247702
107,7.33333333333333,3.84766252739226
110,1,3.05360326894502
112,6,4.29489051094891
114,2,3.13107511045655
115,10,9.45532523230879
116,11,9.54967834167262
117,11,8.87562544674768
118,21,16.7190850607577
119,21,19.3716940671909
120,7,7.65910753474762
121,10,9.95922746781116
122,7,7.73657838224767
123,10,6.19874100719424
124,21.5,13.786327845383
128,4,8.00913242009132
129,2,5.24275646045419
130,6,4.69830729166667
132,7,4.66894609814964
133,2,2.09366818873668
136,1,4.72274837511606
138,1.5,1.38425506195225
144,3,2.45728155339806
146,0.833333333333333,1.39522673031026
147,0.333333333333333,1.41650380021715
148,1,2.24876811594203
158,0.333333333333333,0.66421568627451
160,0.5,1.26869779802582
168,1,0.948470209339774
170,1,1.66355140186916
172,1,1.05608065532451
198,0.5,2.45313986679353
199,3,3.49590277777778
201,11,10.0580442804428
206,1.5,1.16811175337187
207,8,6.32249496475327
215,1,2.19287158746208
220,15,21.4686770428016
232,6,8.61432676518883
